zone,zip code,case_rate_per_100k,population,med_hh_income,med_age,med_home_value
Petaluma,94954,1056,38316,81980,40.9,647000
Petaluma,94952,809,35423,75221,44.1,820900
RohnertPark,94928,636,43663,57484,32.6,539000
SantaRosa,95403,904,46288,63029,37.8,552000
SantaRosa,95401,1057,39229,52813,35.8,516000
SantaRosa,95404,618,41536,67001,41.7,667000
SantaRosa,95405,508,20994,72156,45.9,603000
SantaRosa,95409,300,26905,65425,51,676000
SantaRosa,95407,2024,41797,53652,32.1,513000
Sebastopol,95472,211,30723,68804,50.4,848000
Sonoma,95476,833,37187,60100,47.8,748000
